folio,CPTUtility_225,CPTUtility_100,CPTUtility_150,crraUtility_1,crraUtility_2,crraUtility_3,crraUtility_5,quadUtility_1,quadUtility_2,quadUtility_3,quadUtility_5
171,-0.01069128,0.006176355,-0.000570699,1.185865057,-0.305481806,-0.046659567,-0.002177115,0.00647284,0.006110494,0.005748147,0.005023455
172,-0.030395125,-6.92E-05,-0.012199564,0.892757352,-0.40952499,-0.083855359,-0.007031721,0.004873337,0.004032857,0.003192377,0.001511416
173,-0.006080548,0.004095646,2.52E-05,0.680831506,-0.506195912,-0.128117151,-0.016414004,0.003705042,0.003568323,0.003431603,0.003158165
174,-0.019414729,0.006725686,-0.00373048,1.204285466,-0.299906216,-0.044971869,-0.002022469,0.006578305,0.00579591,0.005013515,0.003448726
175,-0.015312024,0.004471906,-0.003441666,0.94070219,-0.390353637,-0.076187981,-0.005804608,0.005134115,0.004654145,0.004174175,0.003214236
176,-0.006395882,0.004014089,-0.0001499,0.916933983,-0.399742782,-0.079897146,-0.006383554,0.004996079,0.004876786,0.004757493,0.004518906
177,-0.014497481,0.002943966,-0.004032613,1.053912816,-0.348571182,-0.060750935,-0.003690676,0.005751331,0.005431541,0.005111751,0.004472171
178,-0.018207348,0.001426868,-0.006426818,0.762841039,-0.466339654,-0.108736337,-0.011823591,0.004159478,0.003762387,0.003365297,0.002571116
179,-0.013221053,0.004001255,-0.002887669,0.956723083,-0.384149652,-0.073785478,-0.005444297,0.005216027,0.004912066,0.004608104,0.004000182
180,-0.013536466,0.002467393,-0.003934151,0.842659769,-0.430563799,-0.092692592,-0.008591917,0.004591626,0.004361487,0.004131349,0.003671072
181,-0.006256105,0.002987676,-0.000709836,0.766750194,-0.464520219,-0.107889517,-0.011640148,0.004175812,0.004101322,0.004026831,0.00387785
182,-0.033198052,0.00064044,-0.012894957,0.969104744,-0.379422566,-0.071980742,-0.005181227,0.00530041,0.004159347,0.003018283,0.000736156
